Nest,Prefix,Suffix,Year
12PR01,2241,96140,2012
12PR01,2241,96141,2012
12PR01,2241,96142,2012
12PR01,2241,96143,2012
12CD03,2241,96145,2012
12CD03,2241,96146,2012
12GB03,2241,96148,2012
12GB03,2241,96149,2012
12GB03,2241,96150,2012
12GB03,2241,96151,2012
12CD01,2241,96153,2012
12CD01,2241,96154,2012
12CD01,2241,96155,2012
12CD01,2241,96156,2012
12IB01,2241,96165,2012
12IB01,2241,96166,2012
12IB01,2241,96167,2012
12IB01,2241,96168,2012
12GB02,2241,96157,2012
12GB02,2241,96158,2012
12GB02,2241,96159,2012
12GB02,2241,96160,2012
12GB01,2241,96161,2012
12GB01,2241,96162,2012
12GB01,2241,96163,2012
12GB01,2241,96164,2012
12LL01,2241,96169,2012
12LL01,2241,96170,2012
12GB05,2241,96174,2012
12GB05,2241,96175,2012
12GB05,2241,96176,2012
12GB05,2241,96177,2012
12CD04,2241,96171,2012
12CD04,2241,96172,2012
12TL02,2241,96178,2012
12TL02,2241,96179,2012
12TL02,2241,96180,2012
12TL02,2241,96181,2012
12LL02,2241,96182,2012
12LL02,2241,96183,2012
12BB01,2241,96185,2012
12BB01,2241,96186,2012
12GB04,2241,96187,2012
12GB04,2241,96188,2012
12GB04,2241,96189,2012
12PR02,2241,96190,2012
12LL03,2241,96198,2012
12LL03,2241,96191,2012
12LL03,2241,96192,2012
12MP04,2241,96193,2012
12MP04,2241,96194,2012
12MP04,2241,96195,2012
12MP04,2341,64215,2012
12HP02,2241,96196,2012
12HP02,2241,96197,2012
12LLCHICKS01,2241,96199,2012
12LLCHICKS01,2241,96200,2012
12LLCHICKS01,2461,1553,2012
12LLCHICKS02,2341,64216,2012
12LLCHICKS02,2341,64216,2012
12CD05,2341,64217,2012
12CD05,2341,64218,2012
12GBCHICKS01,2341,64220,2012
12GBCHICKS01,2341,64221,2012
12GBCHICKS02,2341,64222,2012
12GBCHICKS02,2341,64223,2012
12GBCHICKS02,2341,64224,2012
12MPCHICKS01,2341,64225,2012
12MP08,2341,64226,2012
12MP08,2341,64227,2012
12MP08,2341,64228,2012
12MP08,2341,64229,2012
