Nest,Easting,Northing,Male.P,Male.S,Male.Year,Female.P,Female.S,Female.Year
16TL01,450874,6507142,891,19607,2015,,,
16TL02,450903,6507261,891,19671,2016,891,19675,2016
16PR01,454125,6510792,891,19620,2015,891,19672,2016
16PR02,454329,6510726,891,19673,2016,891,19679,2016
16GB01,444695,6514502,891,19614,2015,8001,82929,2014
16EP01,452354,6516066,8001,82848,2014,891,19608,2015
16HP01,450448,6514552,891,19674,2016,2341,64248,2013
16GB02,443731,6514758,8001,82864,2014,2461,1425,2014
16GB03,445101,6514476,961,43354,2011,2341,64222,2012
16GB04,444970,6514501,891,19677,2016,891,19676,2016
16EP02,452281,6516198,891,19641,2015,891,19680,2015
16MP01,437695,6514253,,,,891,19678,2016
16MP02,438066,6514124,,,,2341,64243,2013
16PR03,453083,6510659,891,19682,2016,891,19681,2016
16LR01,441377,6513768,,,,,,
16DB01,440525,6514130,,,,,,
